"","season","week","order","contestant","song","artist","song_theme","result"
"1","Season_01","20020618_top_30_group_1",1,"Tamyra Gray","And I Am Telling You I'm Not Going","Jennifer Holliday",NA,"Advanced (1st)"
"2","Season_01","20020618_top_30_group_1",2,"Jim Verraros","When I Fall in Love","Doris Day",NA,"Advanced (3rd)"
"3","Season_01","20020618_top_30_group_1",3,"Adriel Herrera","I'll Be","Edwin McCain",NA,"Eliminated"
"4","Season_01","20020618_top_30_group_1",4,"Rodesia Eaves","Daydream Believer","The Monkees",NA,"Eliminated"
"5","Season_01","20020618_top_30_group_1",5,"Natalie Burge","Crazy","Patsy Cline",NA,"Eliminated"
"6","Season_01","20020618_top_30_group_1",6,"Brad Estrin","Just Once","James Ingram",NA,"Eliminated"
"7","Season_01","20020618_top_30_group_1",7,"Ryan Starr","The Frim-Fram Sauce","The King Cole Trio",NA,"Advanced (2nd)"
"8","Season_01","20020618_top_30_group_1",8,"Justinn Waddell","When a Man Loves a Woman","Percy Sledge",NA,"Eliminated"
"9","Season_01","20020618_top_30_group_1",9,"Kelli Glover","I Will Always Love You","Dolly Parton",NA,"Wild Card"
"10","Season_01","20020618_top_30_group_1",10,"Christopher Aaron","Still in Love","Brian McKnight",NA,"Wild Card"
"11","Season_01","20020625_top_30_group_2",1,"Alexis Lopez","I Will Survive","Gloria Gaynor",NA,"Wild Card"
"12","Season_01","20020625_top_30_group_2",2,"Gil Sinuet","Ribbon in the Sky","Stevie Wonder",NA,"Eliminated"
"13","Season_01","20020625_top_30_group_2",3,"Angela Peel","Run to You","Whitney Houston",NA,"Wild Card"
"14","Season_01","20020625_top_30_group_2",4,"AJ Gil","All or Nothing","O-Town",NA,"Advanced (3rd)"
"15","Season_01","20020625_top_30_group_2",5,"Tenia Taylor","Greatest Love of All","Whitney Houston",NA,"Eliminated"
"16","Season_01","20020625_top_30_group_2",6,"Alexandra Bachelier","Save the Best for Last","Vanessa Williams",NA,"Eliminated"
"17","Season_01","20020625_top_30_group_2",7,"Jazmin Lowery","You Put a Move on My Heart","Tamia",NA,"Eliminated"
"18","Season_01","20020625_top_30_group_2",8,"Jamar","Careless Whisper","George Michael",NA,"Eliminated"
"19","Season_01","20020625_top_30_group_2",9,"Kelly Clarkson","Respect","Aretha Franklin",NA,"Advanced (2nd)"
"20","Season_01","20020625_top_30_group_2",10,"Justin Guarini","Ribbon in the Sky","Stevie Wonder",NA,"Advanced (1st)"
"21","Season_01","20020702_top_30_group_3",1,"R. J. Helton","I'll Be There","The Jackson 5",NA,"Wild Card"
"22","Season_01","20020702_top_30_group_3",2,"Kristin Holt","Fallin'","Alicia Keys",NA,"Eliminated"
"23","Season_01","20020702_top_30_group_3",3,"Mark Scott","My Girl","The Temptations",NA,"Eliminated"
"24","Season_01","20020702_top_30_group_3",4,"Nikki McKibbin","Total Eclipse of the Heart","Bonnie Tyler",NA,"Advanced (2nd)"
"25","Season_01","20020702_top_30_group_3",5,"Chris Badano","I Swear","John Michael Montgomery",NA,"Eliminated"
"26","Season_01","20020702_top_30_group_3",6,"Melanie Sanders","And I Am Telling You I'm Not Going","Jennifer Holliday",NA,"Eliminated"
"27","Season_01","20020702_top_30_group_3",7,"EJay Day","I'll Be","Edwin McCain",NA,"Advanced (3rd)"
"28","Season_01","20020702_top_30_group_3",8,"Tanesha Ross","Until You Come Back to Me (That's What I'm Gonna Do)","Aretha Franklin",NA,"Eliminated"
"29","Season_01","20020702_top_30_group_3",9,"Khaleef Chiles","My Cherie Amour","Stevie Wonder",NA,"Eliminated"
"30","Season_01","20020702_top_30_group_3",10,"Christina Christian","At Last","Etta James",NA,"Advanced (1st)"
